citizen-kane,"{'Director': ['Orson Welles'], 'Principal Cast': ['Joseph Cotten', 'Orson Welles'], 'Cast': ['Agnes Moorehead', 'Dorothy Comingore', 'Erskine Sanford', 'Everett Sloane', 'Fortunio Bonanova', 'George Coulouris', 'Georgia Backus', 'Gus Schilling', 'Harry Shannon', 'Paul Stewart', 'Philip Van Zandt', 'Ray Collins', 'Ruth Warrick', 'William Alland']}"
the-godfather,"{'Director': ['Francis Ford Coppola'], 'Principal Cast': ['Al Pacino', 'Marlon Brando'], 'Cast': ['Abe Vigoda', 'Al Lettieri', 'Diane Keaton', 'Gianni Russo', 'James Caan', 'John Cazale', 'John Marley', 'Richard Conte', 'Richard S. Castellano', 'Robert Duvall', 'Rudy Bond', 'Sterling Hayden', 'Talia Shire']}"
rear-window,"{'Director': ['Alfred Hitchcock'], 'Principal Cast': ['Frank Cady', 'Georgine Darcy', 'Grace Kelly', 'James Stewart', 'Judith Evelyn', 'Raymond Burr', 'Ross Bagdasarian', 'Sara Berner', 'Thelma Ritter', 'Wendell Corey'], 'Cast': ['Havis Davenport', 'Irene Winston', 'Jerry Antes', 'Jesslyn Fax', 'Rand Harper']}"
casablanca,"{'Director': ['Michael Curtiz'], 'Principal Cast': ['Humphrey Bogart', 'Ingrid Bergman'], 'Cast': ['Claude Rains', 'Conrad Veidt', 'Curt Bois', 'Dooley Wilson', 'Enrique Acosta', 'John Qualen', 'Joy Page', 'Leonid Kinskey', 'Madeleine Lebeau', 'Paul Henreid', 'Peter Lorre', 'S.Z. Sakall', 'Sydney Greenstreet']}"
boyhood,"{'Director': ['Richard Linklater'], 'Principal Cast': ['Bonnie Cross', 'Elijah Smith', 'Ellar Coltrane', 'Ethan Hawke', 'Libby Villari', 'Lorelei Linklater', 'Marco Perella', 'Patricia Arquette', 'Steven Chester Prince'], 'Cast': ['Alyssa Petersen', 'Andrea Chen', 'Andrew Villarreal', 'Angela Rawna', 'Bonnie Cross', 'Brad Hawkins', 'Cassidy Johnson', 'David Blackwell', 'Deanna Brochin', 'Derek Chase Hickey', 'Elijah Smith', 'Ethan Hawke', 'Evie Thompson', 'Greg Baglia', 'Jamie Howard', 'Jonathan Bell', 'Jordan Howard', 'Libby Villari', 'Lorelei Linklater', 'Marco Perella', 'Mark Finn', 'Megan Devine', 'Mona Lee Fultz', 'Natalie Wilemon', 'Nick Krause', 'Patricia Arquette', 'Ryan Power', 'Sam Dillon', 'Savannah Welch', 'Shane Graham', 'Sharee Fowler', 'Steven Chester Prince', 'Sydney Orta', 'Tamara Jolaine', 'Tess Allen', 'Zoe Graham']}"
three-colors-red,"{'Director': ['Krzysztof Kieslowski'], 'Principal Cast': ['Irène Jacob', 'Jean-Louis Trintignant'], 'Cast': ['Bernard Escalon', 'Brigitte Raul', 'Elzbieta Jasinska', 'Frédérique Feder', 'Jean Schlegel', 'Jean-Marie Daunas', 'Jean-Pierre Lorit', 'Leo Ramseyer', 'Marion Stalens', 'Paul Vermeulen', 'Roland Carey', 'Samuel Le Bihan', 'Teco Celio']}"
vertigo,"{'Director': ['Alfred Hitchcock'], 'Principal Cast': ['Barbara Bel Geddes', 'David Ahdar', 'Ellen Corby', 'Henry Jones', 'James Stewart', 'Kim Novak', 'Konstantin Shayne', 'Lee Patrick', 'Raymond Bailey', 'Tom Helmore'], 'Cast': ['Danny Borzage', 'Isabel Analla', 'Jack Ano', 'John Benson', 'Margaret Bacon']}"
notorious-1946,"{'Director': ['Alfred Hitchcock'], 'Principal Cast': ['Alexis Minotis', 'Cary Grant', 'Claude Rains', 'Ingrid Bergman', 'Ivan Triesault', 'Leopoldine Konstantin', 'Louis Calhern', 'Moroni Olsen', 'Reinhold Schünzel', 'Wally Brown'], 'Cast': ['Bernice Barrett', 'Charles Mendl', 'E.A. Krumschmidt', 'Fay Baker', 'Ricardo Costa']}"
singin-in-the-rain,"{'Director': ['Gene Kelly', 'Stanley Donen'], 'Principal Cast': ['Cyd Charisse', 'Dawn Addams', 'Debbie Reynolds', ""Donald O'Connor"", 'Douglas Fowley', 'Gene Kelly', 'Jean Hagen', 'John Albright', 'Millard Mitchell', 'Rita Moreno'], 'Cast': ['Bette Arlen', 'Betty Allen', 'Jimmy Bates', 'Marie Ardell', 'Sue Allen']}"
city-lights,"{'Director': ['Charles Chaplin'], 'Principal Cast': ['Charles Chaplin', 'Virginia Cherrill'], 'Cast': ['Al Ernest Garcia', 'Albert Austin', 'Betty Blair', 'Buster Brodie', 'Eddie Baker', 'Florence Lee', 'Hank Mann', 'Harry Ayers', 'Harry Myers', 'Henry Bergman', 'Jack Alexander', 'T.S. Alexander', 'Victor Alexander']}"
